            	 3.235002E+06	 3.242002E+06	 3.257000E+06	 3.281001E+06	 3.334002E+06	 3.344001E+06	 3.347001E+06	 3.354000E+06	 3.354001E+06	 3.354002E+06	 3.354003E+06	 3.355002E+06	 3.355003E+06	 3.355004E+06	 3.355005E+06	 3.377000E+06	 3.379000E+06	 3.384001E+06	 3.384002E+06	 3.392001E+06	 3.461001E+06	 3.469001E+06	 3.469002E+06	 3.482001E+06	 3.482002E+06	 3.482003E+06	 3.482004E+06	 3.492001E+06	 3.495000E+06	 3.496002E+06	 3.496003E+06	 3.529002E+06	 3.534000E+06	 3.544001E+06	 3.560001E+06	 3.560002E+06	 3.560003E+06	 3.560004E+06	 3.560005E+06	 3.560006E+06	 3.590000E+06	 3.590001E+06	 3.683005E+06	 3.696002E+06	 3.696003E+06
 -3155.50    	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN
 -3154.50    	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN
 -3153.50    	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN
 -3152.50    	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN
 -3151.50    	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN
 -3150.50    	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN
 -3149.50    	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN
 -3148.50    	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN
 -3147.50    	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN
 -3146.50    	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN
 -3145.50    	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN
 -3144.50    	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN
 -3143.50    	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN
 -3142.50    	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN
