station	latitude
ids	degree_north
3235002	54.9N
3242002	54.8N
3257000	54.3N
3281001	54.33N
3334002	53.25N
3344001	53.82N
3347001	53.8N
3354000	53N
3354001	53.22N
3354002	52.83N
3354003	53.1N
3355002	53.92N
3355003	53.83N
3355004	53.87N
3355005	53.5N
3377000	53.2N
3379000	53.03N
3384001	54.1N
3384002	53.7N
3392001	53.15N
3461001	52.62N
3469001	52.75N
3469002	52.8N
3482001	52.37N
3482002	52.4N
3482003	52.85N
3482004	52.48N
3492001	52.6N
3495000	52.77N
3496002	52.48N
3496003	52.6N
3529002	52.18N
3534000	52.5N
3544001	52.2N
3560001	52.37N
3560002	52.02N
3560003	52.02N
3560004	52.23N
3560005	52.3N
3560006	52.4N
3590000	52.1N
3590001	52.13N
3683005	52.2N
3696002	52.08N
3696003	52N
