station	longitude
ids	degree_east
3235002	1.9W
3242002	1.6W
3257000	1.5W
3281001	0.52W
3334002	1.92W
3344001	1.77W
3347001	1.6W
3354000	1.3W
3354001	1.12W
3354002	1.25W
3354003	1.1W
3355002	1.17W
3355003	1.15W
3355004	1.33W
3355005	1W
3377000	0.5W
3379000	0.5W
3384001	0.63W
3384002	0.3W
3392001	0.35E
3461001	0.45W
3469001	0.28E
3469002	0.1W
3482001	0.48E
3482002	0.57E
3482003	0.77E
3482004	0.68E
3492001	1.3E
3495000	1.35E
3496002	1.75E
3496003	1.7E
3529002	1.77W
3534000	1.7W
3544001	1.6W
3560001	0.22W
3560002	0.42W
3560003	0.58W
3560004	0.1E
3560005	0.8W
3560006	0.1W
3590000	1E
3590001	1.43E
3683005	0.1E
3696002	1.4E
3696003	1.3E
